시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,의성군,사고건수,99,14,4,1,4,2,3,70,3,50,11,6,15,4,,6,1,4,,,117,10,2,2,2,,4,98,8,68,12,10,9,2,,1,,6,117,21,11,2,4,,4,83,16,45,14,8,13,,,,,13,,,103,16,8,2,3,,3,73,2,8,51,7,5,14,,,2,1,1,1,9,,,108,15,6,6,1,,2,83,,6,70,7,,10,6,,3,,1,,,
,,사망자수,6,2,1,1,0,0,0,3,0,1,2,0,1,0,,1,0,0,,,6,2,1,1,0,,0,4,1,1,2,0,0,0,,0,,0,14,3,1,0,1,,1,7,3,1,1,2,4,,,,,4,,,11,2,1,0,1,,0,6,0,0,4,1,1,3,,,2,0,1,0,0,,,7,0,0,0,0,,0,5,,0,4,1,,2,1,,1,,0,,,
,,부상자수,111,12,3,0,4,2,3,82,4,62,10,6,17,4,,8,1,4,,,138,8,1,1,2,,4,120,9,89,12,10,10,2,,1,,7,120,19,10,3,3,,3,89,19,48,16,6,12,,,,,12,,,110,14,7,2,2,,3,79,2,11,56,6,4,17,,,0,1,0,5,11,,,120,15,6,6,1,,2,95,,7,79,9,,10,7,,2,,1,,,
,,중상자수,80,9,3,0,2,2,2,58,4,41,9,4,13,2,,7,1,3,,,77,6,1,1,1,,3,63,6,44,8,5,8,2,,0,,6,74,16,10,1,2,,3,50,10,29,9,2,8,,,,,8,,,78,10,5,1,2,,2,54,2,10,32,6,4,14,,,0,1,0,5,8,,,79,11,5,4,0,,2,61,,6,49,6,,7,4,,2,,1,,,
,,경상자수,26,3,0,0,2,0,1,20,0,17,1,2,3,1,,1,0,1,,,58,2,0,0,1,,1,54,3,43,3,5,2,0,,1,,1,46,3,0,2,1,,0,39,9,19,7,4,4,,,,,4,,,32,4,2,1,0,,1,25,0,1,24,0,0,3,,,0,0,0,0,3,,,41,4,1,2,1,,0,34,,1,30,3,,3,3,,0,,0,,,
,,부상신고자수,5,0,0,0,0,0,0,4,0,4,0,0,1,1,,0,0,0,,,3,0,0,0,0,,0,3,0,2,1,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,0,0,,0,0,0,,0,0,,0,,0,,,
,청송군,사고건수,50,16,3,2,1,,10,28,7,3,6,12,6,,,2,2,2,,,34,7,2,1,3,,1,22,5,9,5,3,5,2,,2,,1,39,3,1,,1,,1,30,8,13,7,2,6,2,,,,4,,,39,5,2,,2,,1,31,,10,15,5,1,3,,,1,,1,,1,,,41,5,1,2,1,1,,30,,7,16,7,,6,4,,2,,,,,
,,사망자수,6,1,0,0,0,,1,3,1,1,1,0,2,,,1,0,1,,,2,2,1,0,1,,0,0,0,0,0,0,0,0,,0,,0,3,0,0,,0,,0,3,1,0,1,1,0,0,,,,0,,,2,1,0,,0,,1,0,,0,0,0,0,1,,,1,,0,,0,,,6,0,0,0,0,0,,4,,2,1,1,,2,2,,0,,,,,
,,부상자수,51,15,3,2,1,,9,32,10,2,6,14,4,,,1,2,1,,,36,5,1,1,2,,1,24,6,10,5,3,7,4,,2,,1,42,3,1,,1,,1,30,8,15,6,1,9,2,,,,7,,,53,4,2,,2,,0,46,,14,22,9,1,3,,,0,,1,,2,,,43,5,1,2,1,1,,33,,11,16,6,,5,3,,2,,,,,
,,중상자수,35,10,2,2,1,,5,22,6,1,4,11,3,,,1,2,0,,,20,4,1,1,1,,1,12,1,5,3,3,4,3,,1,,0,26,3,1,,1,,1,17,5,9,2,1,6,1,,,,5,,,26,3,2,,1,,0,22,,10,8,4,0,1,,,0,,0,,1,,,25,3,0,1,1,1,,20,,9,6,5,,2,1,,1,,,,,
,,경상자수,14,5,1,0,0,,4,9,3,1,2,3,0,,,0,0,0,,,16,1,0,0,1,,0,12,5,5,2,0,3,1,,1,,1,15,0,0,,0,,0,12,2,6,4,0,3,1,,,,2,,,27,1,0,,1,,0,24,,4,14,5,1,2,,,0,,1,,1,,,16,2,1,1,0,0,,12,,2,9,1,,2,2,,0,,,,,
,,부상신고자수,2,0,0,0,0,,0,1,1,0,0,0,1,,,0,0,1,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,1,0,0,,0,,0,1,1,0,0,0,0,0,,,,0,,,0,0,0,,0,,0,0,,0,0,0,0,0,,,0,,0,,0,,,2,0,0,0,0,0,,1,,0,1,0,,1,0,,1,,,,,
,영양군,사고건수,34,11,8,,,,3,20,3,15,1,1,3,,,,2,1,,,32,4,4,,,,,23,5,14,4,,5,2,,2,,1,36,8,8,,,,,23,7,8,4,4,5,,,,,5,,,35,9,3,,1,1,4,19,,6,8,2,3,7,,,2,1,1,1,2,,,33,9,3,1,5,,,20,,3,14,3,,4,2,,,,1,1,,
,,사망자수,4,3,3,,,,0,1,1,0,0,0,0,,,,0,0,,,2,0,0,,,,,2,0,2,0,,0,0,,0,,0,1,1,1,,,,,0,0,0,0,0,0,,,,,0,,,1,1,0,,0,1,0,0,,0,0,0,0,0,,,0,0,0,0,0,,,1,1,0,0,1,,,0,,0,0,0,,0,0,,,,0,0,,
,,부상자수,38,8,5,,,,3,27,5,20,1,1,3,,,,2,1,,,36,4,4,,,,,27,8,13,6,,5,2,,2,,1,44,7,7,,,,,29,11,10,4,4,8,,,,,8,,,48,9,3,,1,0,5,30,,7,14,2,7,9,,,3,2,1,1,2,,,37,8,3,1,4,,,22,,3,16,3,,7,5,,,,1,1,,
,,중상자수,20,5,3,,,,2,14,2,12,0,0,1,,,,1,0,,,15,3,3,,,,,8,2,4,2,,4,2,,2,,0,31,5,5,,,,,23,10,7,3,3,3,,,,,3,,,26,5,3,,1,0,1,16,,3,8,2,3,5,,,3,1,0,0,1,,,21,5,2,1,2,,,10,,1,9,0,,6,4,,,,1,1,,
,,경상자수,18,3,2,,,,1,13,3,8,1,1,2,,,,1,1,,,18,1,1,,,,,16,6,8,2,,1,0,,0,,1,13,2,2,,,,,6,1,3,1,1,5,,,,,5,,,22,4,0,,0,0,4,14,,4,6,0,4,4,,,0,1,1,1,1,,,16,3,1,0,2,,,12,,2,7,3,,1,1,,,,0,0,,
,,부상신고자수,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,,,3,0,0,,,,,3,0,1,2,,0,0,,0,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,0,,,0,0,0,,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,,0,0,0,,0,0,,,,0,0,,
,영덕군,사고건수,70,11,4,,1,,6,47,2,25,13,7,12,5,,4,,3,,,95,14,4,1,3,,6,70,12,34,19,5,11,4,,2,1,4,89,17,8,,5,,4,68,9,36,17,6,4,,,,,4,,,94,21,10,4,3,,4,65,1,7,42,11,4,8,4,,1,,1,,2,,,83,15,3,4,1,2,5,56,2,5,33,16,,12,5,,1,1,2,3,,
,,사망자수,8,3,1,,0,,2,5,1,1,1,2,0,0,,0,,0,,,6,2,0,1,0,,1,3,1,2,0,0,1,1,,0,0,0,7,4,2,,1,,1,3,1,0,1,1,0,,,,,0,,,6,3,1,0,0,,2,0,0,0,0,0,0,3,0,,1,,1,,1,,,6,1,0,0,0,0,1,4,0,1,1,2,,1,0,,0,0,0,1,,
,,부상자수,81,8,3,,1,,4,56,1,24,26,5,17,6,,8,,3,,,120,15,4,0,4,,7,91,16,40,30,5,14,4,,4,1,5,132,13,6,,4,,3,112,10,68,29,5,7,,,,,7,,,117,19,10,4,3,,2,92,1,9,57,20,5,6,4,,0,,1,,1,,,91,15,3,4,1,2,5,65,2,9,36,18,,11,5,,1,1,2,2,,
,,중상자수,43,5,3,,0,,2,27,0,8,16,3,11,3,,7,,1,,,66,11,4,0,3,,4,49,7,27,10,5,6,0,,3,0,3,55,11,5,,3,,3,39,4,24,8,3,5,,,,,5,,,49,10,5,2,2,,1,36,1,6,21,6,2,3,2,,0,,0,,1,,,39,8,3,2,1,0,2,28,0,6,16,6,,3,3,,0,0,0,0,,
,,경상자수,31,3,0,,1,,2,25,1,12,10,2,3,0,,1,,2,,,52,4,0,0,1,,3,41,8,13,20,0,7,3,,1,1,2,76,2,1,,1,,0,72,6,44,20,2,2,,,,,2,,,65,9,5,2,1,,1,54,0,3,34,14,3,2,1,,0,,1,,0,,,47,6,0,2,0,2,2,35,2,2,19,12,,6,2,,1,0,2,1,,
,,부상신고자수,7,0,0,,0,,0,4,0,4,0,0,3,3,,0,,0,,,2,0,0,0,0,,0,1,1,0,0,0,1,1,,0,0,0,1,0,0,,0,,0,1,0,0,1,0,0,,,,,0,,,3,0,0,0,0,,0,2,0,0,2,0,0,1,1,,0,,0,,0,,,5,1,0,0,0,0,1,2,0,1,1,0,,2,0,,0,1,0,1,,
,청도군,사고건수,81,12,2,2,1,,7,60,1,5,3,51,9,2,,1,1,5,,,88,17,6,1,2,1,7,64,8,39,13,4,7,5,,1,,1,65,5,,2,1,,2,51,4,37,8,2,9,1,1,,,7,,,104,11,2,2,4,,3,83,1,2,49,21,10,10,2,,1,2,3,,2,,,87,21,5,8,4,1,3,59,,1,45,10,3,7,1,,1,2,2,1,,
,,사망자수,11,4,1,0,0,,3,4,1,0,2,1,3,0,,1,0,2,,,5,0,0,0,0,0,0,3,1,0,2,0,2,1,,1,,0,5,1,,0,0,,1,2,0,2,0,0,2,0,0,,,2,,,10,2,0,0,2,,0,5,0,0,2,3,0,3,0,,0,1,2,,0,,,10,4,1,1,1,0,1,3,,0,1,2,0,3,0,,1,0,1,1,,
,,부상자수,91,9,2,2,1,,4,67,0,6,4,57,15,4,,0,1,10,,,107,19,6,2,2,1,8,82,11,54,13,4,6,5,,0,,1,72,4,,2,1,,1,60,5,39,14,2,8,1,1,,,6,,,117,10,2,2,2,,4,98,1,3,61,22,11,9,3,,1,1,2,,2,,,101,18,4,7,4,1,2,79,,1,64,11,3,4,1,,0,2,1,0,,
,,중상자수,47,6,2,1,1,,2,28,0,2,1,25,13,4,,0,1,8,,,56,15,5,1,2,1,6,37,3,23,8,3,4,3,,0,,1,30,2,,1,0,,1,24,0,19,3,2,4,0,1,,,3,,,55,5,1,1,2,,1,47,1,1,28,12,5,3,0,,0,1,0,,2,,,46,12,4,3,2,1,2,31,,1,29,1,0,3,1,,0,1,1,0,,
,,경상자수,41,3,0,1,0,,2,36,0,4,3,29,2,0,,0,0,2,,,43,4,1,1,0,0,2,38,6,26,5,1,1,1,,0,,0,42,2,,1,1,,0,36,5,20,11,0,4,1,0,,,3,,,57,5,1,1,0,,3,46,0,2,29,10,5,6,3,,1,0,2,,0,,,53,6,0,4,2,0,0,46,,0,34,10,2,1,0,,0,1,0,0,,
,,부상신고자수,3,0,0,0,0,,0,3,0,0,0,3,0,0,,0,0,0,,,8,0,0,0,0,0,0,7,2,5,0,0,1,1,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,0,,,5,0,0,0,0,,0,5,0,0,4,0,1,0,0,,0,0,0,,0,,,2,0,0,0,0,0,0,2,,0,1,0,1,0,0,,0,0,0,0,,
,고령군,사고건수,71,19,7,,1,,11,46,4,32,7,3,6,4,1,,,1,,,72,8,2,,6,,,56,6,32,18,,8,3,,,,5,70,14,7,,5,,2,48,4,33,5,6,8,4,,,1,3,,,64,10,3,3,1,,3,46,1,2,33,9,1,8,1,,1,4,2,,,,,70,15,3,5,5,1,1,45,1,3,32,8,1,10,7,,,2,,1,,
,,사망자수,7,5,2,,1,,2,2,0,1,1,0,0,0,0,,,0,,,7,1,1,,0,,,5,1,2,2,,1,1,,,,0,7,3,2,,1,,0,2,0,2,0,0,2,1,,,1,0,,,5,1,0,1,0,,0,3,0,1,2,0,0,1,0,,1,0,0,,,,,3,0,0,0,0,0,0,1,0,1,0,0,0,2,2,,,0,,0,,
,,부상자수,77,15,5,,0,,10,53,6,37,7,3,9,7,1,,,1,,,83,7,1,,6,,,66,9,38,19,,10,4,,,,6,69,11,5,,4,,2,50,4,34,6,6,8,3,,,1,4,,,64,9,3,2,1,,3,48,1,1,35,10,1,7,1,,0,4,2,,,,,76,15,3,5,5,1,1,50,1,2,38,8,1,11,8,,,2,,1,,
,,중상자수,37,6,1,,0,,5,27,2,23,1,1,4,4,0,,,0,,,33,5,1,,4,,,25,3,17,5,,3,0,,,,3,37,7,3,,3,,1,27,2,17,4,4,3,1,,,1,1,,,31,8,3,1,1,,3,19,0,0,15,4,0,4,1,,0,1,2,,,,,41,9,2,2,5,0,0,24,1,1,20,2,0,8,5,,,2,,1,,
,,경상자수,38,8,3,,0,,5,25,4,13,6,2,5,3,1,,,1,,,50,2,0,,2,,,41,6,21,14,,7,4,,,,3,30,3,2,,0,,1,22,2,16,2,2,5,2,,,0,3,,,33,1,0,1,0,,0,29,1,1,20,6,1,3,0,,0,3,0,,,,,33,6,1,3,0,1,1,24,0,1,16,6,1,3,3,,,0,,0,,
,,부상신고자수,2,1,1,,0,,0,1,0,1,0,0,0,0,0,,,0,,,0,0,0,,0,,,0,0,0,0,,0,0,,,,0,2,1,0,,1,,0,1,0,1,0,0,0,0,,,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,,0,,0,,
,성주군,사고건수,88,12,4,1,1,,6,64,5,14,7,38,12,4,,2,3,3,,,82,13,4,2,1,,6,67,15,12,6,34,2,,,2,,,87,14,6,,4,,4,61,12,36,6,7,12,2,,2,1,7,,,87,15,2,3,2,,8,65,1,9,42,9,4,7,1,,2,1,2,,1,,,93,13,6,,1,,6,69,,3,52,6,8,11,5,,1,3,1,1,,
,,사망자수,6,3,2,0,0,,1,2,0,0,0,2,1,0,,1,0,0,,,10,2,1,0,0,,1,8,2,1,1,4,0,,,0,,,12,2,1,,0,,1,6,1,1,2,2,4,1,,1,0,2,,,10,2,0,0,0,,2,5,0,0,3,1,1,3,1,,2,0,0,,0,,,6,2,2,,0,,0,1,,1,0,0,0,3,3,,0,0,0,0,,
,,부상자수,100,9,2,1,1,,5,74,7,18,8,41,17,5,,6,3,3,,,93,11,3,2,1,,5,73,15,11,5,42,9,,,9,,,95,12,5,,4,,3,69,12,43,6,8,14,3,,3,1,7,,,89,14,2,3,3,,6,70,1,12,43,11,3,5,0,,1,1,2,,1,,,102,12,4,,2,,6,79,,4,60,6,9,11,2,,3,3,2,1,,
,,중상자수,40,7,2,1,1,,3,26,0,5,2,19,7,1,,3,2,1,,,44,7,3,1,0,,3,31,8,6,2,15,6,,,6,,,59,9,5,,2,,2,41,7,26,3,5,9,3,,2,0,4,,,43,10,1,2,2,,5,33,0,5,21,5,2,0,0,,0,0,0,,0,,,48,6,3,,0,,3,35,,2,27,4,2,7,1,,2,2,1,1,,
,,경상자수,59,2,0,0,0,,2,47,6,13,6,22,10,4,,3,1,2,,,49,4,0,1,1,,2,42,7,5,3,27,3,,,3,,,36,3,0,,2,,1,28,5,17,3,3,5,0,,1,1,3,,,46,4,1,1,1,,1,37,1,7,22,6,1,5,0,,1,1,2,,1,,,54,6,1,,2,,3,44,,2,33,2,7,4,1,,1,1,1,0,,
,,부상신고자수,1,0,0,0,0,,0,1,1,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,0,,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,
,칠곡군,사고건수,103,26,5,1,2,,18,65,,11,13,41,12,4,,,2,6,,,124,26,9,2,2,1,12,92,4,30,20,38,6,2,,1,1,2,111,12,7,1,,1,3,88,30,37,13,8,11,1,,,1,9,,,126,23,4,,5,3,11,94,,7,51,20,16,9,4,,,,2,,3,,,152,33,15,5,4,3,6,107,2,6,74,21,4,12,7,,2,1,2,,,
,,사망자수,7,4,0,1,1,,2,2,,0,2,0,1,0,,,0,1,,,10,4,3,0,0,0,1,4,0,2,1,1,2,0,,1,0,1,11,2,1,0,,1,0,4,0,1,2,1,5,1,,,1,3,,,7,2,0,,1,0,1,3,,1,1,1,0,2,1,,,,0,,1,,,7,4,3,0,0,0,1,2,0,0,1,1,0,1,1,,0,0,0,,,
,,부상자수,111,23,6,0,1,,16,74,,13,13,48,14,5,,,2,7,,,134,22,6,2,2,1,11,107,4,33,29,41,5,2,,0,1,2,133,10,6,1,,0,3,106,35,42,21,8,17,2,,,0,15,,,135,23,4,,5,3,11,105,,8,58,22,17,7,3,,,,2,,2,,,170,29,12,5,4,3,5,129,2,9,89,24,5,12,7,,2,1,2,,,
,,중상자수,58,15,4,0,1,,10,38,,5,9,24,5,2,,,1,2,,,68,15,4,0,2,1,8,52,3,10,17,22,1,1,,0,0,0,60,8,6,1,,0,1,42,16,16,5,5,10,1,,,0,9,,,58,18,2,,5,2,9,37,,7,17,8,5,3,1,,,,2,,0,,,64,20,10,4,1,2,3,41,1,5,25,7,3,3,3,,0,0,0,,,
,,경상자수,45,8,2,0,0,,6,32,,8,4,20,5,2,,,1,2,,,44,5,2,0,0,0,3,38,1,17,7,13,1,0,,0,1,0,50,2,0,0,,0,2,45,13,18,13,1,3,1,,,0,2,,,51,5,2,,0,1,2,44,,0,29,8,7,2,0,,,,0,,2,,,73,7,2,1,1,1,2,62,1,3,46,11,1,4,2,,1,0,1,,,
,,부상신고자수,8,0,0,0,0,,0,4,,0,0,4,4,1,,,0,3,,,22,2,0,2,0,0,0,17,0,6,5,6,3,1,,0,0,2,23,0,0,0,,0,0,19,6,8,3,2,4,0,,,0,4,,,26,0,0,,0,0,0,24,,1,12,6,5,2,2,,,,0,,0,,,33,2,0,0,2,0,0,26,0,1,18,6,1,5,2,,1,1,1,,,
,예천군,사고건수,66,11,1,6,,4,,51,5,25,8,13,4,1,,,1,2,,,103,19,13,3,2,1,,67,9,39,19,,17,4,,5,1,7,76,14,11,1,2,,,52,10,38,4,,10,3,,,1,6,,,69,11,3,3,,,5,51,,4,39,5,3,7,1,,4,,2,,,,,77,14,4,7,3,,,58,,4,43,11,,5,3,,,1,,1,,
,,사망자수,4,0,0,0,,0,,4,0,2,2,0,0,0,,,0,0,,,7,2,1,1,0,0,,1,0,1,0,,4,2,,2,0,0,7,1,0,1,0,,,2,1,1,0,,4,1,,,1,2,,,7,2,0,1,,,1,1,,0,0,1,0,4,0,,2,,2,,,,,4,2,0,1,1,,,0,,0,0,0,,2,1,,,1,,0,,
,,부상자수,72,11,1,6,,4,,57,8,29,6,14,4,1,,,1,2,,,111,17,12,2,2,1,,78,9,47,22,,16,2,,6,1,7,74,13,11,0,2,,,54,10,40,4,,7,2,,,0,5,,,67,9,3,2,,,4,53,,5,40,5,3,5,1,,2,,2,,,,,79,12,4,6,2,,,64,,6,46,12,,3,2,,,0,,1,,
,,중상자수,51,10,1,5,,4,,39,6,16,5,12,2,0,,,1,1,,,87,15,11,2,1,1,,58,6,40,12,,14,0,,6,1,7,63,11,9,0,2,,,47,9,35,3,,5,1,,,0,4,,,55,6,1,2,,,3,44,,3,35,3,3,5,1,,2,,2,,,,,62,11,4,5,2,,,50,,5,36,9,,1,0,,,0,,1,,
,,경상자수,21,1,0,1,,0,,18,2,13,1,2,2,1,,,0,1,,,22,1,0,0,1,0,,19,3,7,9,,2,2,,0,0,0,11,2,2,0,0,,,7,1,5,1,,2,1,,,0,1,,,12,3,2,0,,,1,9,,2,5,2,0,0,0,,0,,0,,,,,17,1,0,1,0,,,14,,1,10,3,,2,2,,,0,,0,,
,,부상신고자수,0,0,0,0,,0,,0,0,0,0,0,0,0,,,0,0,,,2,1,1,0,0,0,,1,0,0,1,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,,,0,0,,,0,0,0,0,,,0,0,,0,0,0,0,0,0,,0,,0,,,,,0,0,0,0,0,,,0,,0,0,0,,0,0,,,0,,0,,
,봉화군,사고건수,54,6,,2,1,1,2,24,5,12,4,3,24,2,,8,3,11,,,61,13,5,3,3,,2,35,12,17,5,1,13,2,,6,,5,63,8,3,1,2,,2,43,13,14,8,8,12,,,,1,11,,,53,11,4,,4,,3,36,,9,11,5,11,6,3,,,,,1,2,,,56,13,,1,,,12,36,,5,7,11,13,7,3,,2,,,2,,
,,사망자수,9,2,,0,1,0,1,2,0,0,2,0,5,1,,1,0,3,,,2,0,0,0,0,,0,1,0,0,1,0,1,0,,1,,0,3,0,0,0,0,,0,2,1,1,0,0,1,,,,0,1,,,3,1,0,,1,,0,1,,1,0,0,0,1,0,,,,,0,1,,,0,0,,0,,,0,0,,0,0,0,0,0,0,,0,,,0,,
,,부상자수,58,4,,2,0,1,1,26,5,14,4,3,28,5,,9,3,11,,,67,13,5,3,3,,2,40,15,19,5,1,14,2,,5,,7,70,8,3,1,2,,2,49,16,14,11,8,13,,,,1,12,,,69,10,4,,3,,3,48,,15,14,7,12,11,6,,,,,4,1,,,67,13,,1,,,12,46,,7,8,14,17,8,3,,3,,,2,,
,,중상자수,29,3,,2,0,1,0,12,3,6,1,2,14,2,,4,1,7,,,33,9,5,2,1,,1,18,8,7,3,0,6,1,,2,,3,31,4,2,0,1,,1,21,9,6,4,2,6,,,,0,6,,,32,4,3,,1,,0,18,,7,4,3,4,10,5,,,,,4,1,,,29,12,,1,,,11,14,,3,2,4,5,3,1,,2,,,0,,
,,경상자수,23,1,,0,0,0,1,12,2,7,3,0,10,3,,3,2,2,,,24,4,0,1,2,,1,16,6,7,2,1,4,0,,3,,1,32,4,1,1,1,,1,23,6,7,6,4,5,,,,1,4,,,35,6,1,,2,,3,28,,8,8,4,8,1,1,,,,,0,0,,,30,1,,0,,,1,26,,4,3,8,11,3,1,,1,,,1,,
,,부상신고자수,6,0,,0,0,0,0,2,0,1,0,1,4,0,,2,0,2,,,10,0,0,0,0,,0,6,1,5,0,0,4,1,,0,,3,7,0,0,0,0,,0,5,1,1,1,2,2,,,,0,2,,,2,0,0,,0,,0,2,,0,2,0,0,0,0,,,,,0,0,,,8,0,,0,,,0,6,,0,3,2,1,2,1,,0,,,1,,
,울진군,사고건수,57,7,5,,,,2,42,3,10,12,17,8,3,,,2,3,,,60,6,1,1,1,,3,42,5,11,10,16,12,3,,3,,6,57,15,8,,5,1,1,31,7,15,9,,11,2,,,1,8,,,50,13,7,2,3,,1,31,,3,16,9,3,6,,,,,,,6,,,54,11,3,2,3,2,1,40,,3,24,7,6,3,2,,1,,,,,
,,사망자수,4,1,1,,,,0,1,0,0,1,0,2,0,,,1,1,,,4,0,0,0,0,,0,1,0,0,1,0,3,1,,1,,1,3,1,1,,0,0,0,2,0,1,1,,0,0,,,0,0,,,6,3,3,0,0,,0,3,,1,1,1,0,0,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,
,,부상자수,62,6,4,,,,2,49,4,12,15,18,7,4,,,1,2,,,67,6,1,1,1,,3,47,5,13,13,16,14,4,,5,,5,59,14,7,,5,1,1,34,8,16,10,,11,2,,,1,8,,,47,10,4,2,3,,1,31,,2,17,9,3,6,,,,,,,6,,,67,12,3,3,3,2,1,52,,4,27,14,7,3,2,,1,,,,,
,,중상자수,36,5,3,,,,2,27,3,6,4,14,4,2,,,0,2,,,31,5,1,1,1,,2,18,4,5,2,7,8,1,,4,,3,29,11,5,,4,1,1,12,4,5,3,,6,1,,,0,5,,,28,8,2,2,3,,1,16,,2,7,4,3,4,,,,,,,4,,,32,11,3,2,3,2,1,20,,1,13,1,5,1,0,,1,,,,,
,,경상자수,24,1,1,,,,0,20,1,6,11,2,3,2,,,1,0,,,31,0,0,0,0,,0,25,1,7,10,7,6,3,,1,,2,27,2,1,,1,0,0,20,3,10,7,,5,1,,,1,3,,,12,2,2,0,0,,0,9,,0,6,3,0,1,,,,,,,1,,,32,1,0,1,0,0,0,29,,3,14,10,2,2,2,,0,,,,,
,,부상신고자수,2,0,0,,,,0,2,0,0,0,2,0,0,,,0,0,,,5,1,0,0,0,,1,4,0,1,1,2,0,0,,0,,0,3,1,1,,0,0,0,2,1,1,0,,0,0,,,0,0,,,7,0,0,0,0,,0,6,,0,4,2,0,1,,,,,,,1,,,3,0,0,0,0,0,0,3,,0,0,3,0,0,0,,0,,,,,
,울릉군,사고건수,7,2,,,,,2,2,1,1,,,3,,,,3,,,,3,,,,,,,1,1,,,,2,1,,,1,,4,1,,,,,1,2,,,1,1,1,,,,,1,,,8,1,,,,,1,5,,3,,,2,2,,,,,,,2,,,8,3,,2,1,,,4,,1,2,1,,1,,,,,1,,,
,,사망자수,2,0,,,,,0,0,0,0,,,2,,,,2,,,,0,,,,,,,0,0,,,,0,0,,,0,,1,0,,,,,0,0,,,0,0,1,,,,,1,,,1,1,,,,,1,0,,0,,,0,0,,,,,,,0,,,1,0,,0,0,,,0,,0,0,0,,1,,,,,1,,,
,,부상자수,9,2,,,,,2,6,2,4,,,1,,,,1,,,,4,,,,,,,2,2,,,,2,1,,,1,,3,1,,,,,1,2,,,1,1,0,,,,,0,,,10,0,,,,,0,7,,5,,,2,3,,,,,,,3,,,8,3,,2,1,,,5,,1,3,1,,0,,,,,0,,,
,,중상자수,4,1,,,,,1,2,2,0,,,1,,,,1,,,,2,,,,,,,2,2,,,,0,0,,,0,,2,1,,,,,1,1,,,0,1,0,,,,,0,,,5,0,,,,,0,2,,1,,,1,3,,,,,,,3,,,6,2,,1,1,,,4,,1,3,0,,0,,,,,0,,,
,,경상자수,5,1,,,,,1,4,0,4,,,0,,,,0,,,,2,,,,,,,0,0,,,,2,1,,,1,,0,0,,,,,0,0,,,0,0,0,,,,,0,,,5,0,,,,,0,5,,4,,,1,0,,,,,,,0,,,2,1,,1,0,,,1,,0,0,1,,0,,,,,0,,,
,,부상신고자수,0,0,,,,,0,0,0,0,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,0,,,0,,1,0,,,,,0,1,,,1,0,0,,,,,0,,,0,0,,,,,0,0,,0,,,0,0,,,,,,,0,,,0,0,,0,0,,,0,,0,0,0,,0,,,,,0,,,
,경산시,사고건수,216,59,3,3,1,4,48,149,2,14,6,127,8,2,,,6,,,,219,74,12,3,4,2,53,134,6,15,4,109,11,1,,1,7,2,218,76,44,2,2,1,27,129,43,46,14,26,13,2,,,4,7,,,208,75,31,10,12,3,19,125,1,21,57,13,33,8,2,,,3,2,,1,,,193,63,31,7,8,5,12,122,1,7,73,22,19,8,3,,1,3,1,,,
,,사망자수,10,5,1,1,1,0,2,4,0,1,0,3,1,1,,,0,,,,12,7,4,1,2,0,0,4,0,0,1,3,1,0,,0,0,1,8,6,5,0,0,0,1,2,1,1,0,0,0,0,,,0,0,,,19,7,3,0,1,0,3,11,0,1,6,0,4,1,1,,,0,0,,0,,,18,8,6,1,1,0,0,8,0,0,2,4,2,2,1,,0,1,0,,,
,,부상자수,239,56,2,2,0,4,48,176,3,16,8,149,7,1,,,6,,,,223,68,8,2,2,2,54,141,6,16,3,116,14,2,,2,8,2,225,71,40,2,2,1,26,141,45,50,17,29,13,2,,,4,7,,,211,68,28,10,11,3,16,135,1,27,59,14,34,8,1,,,3,3,,1,,,199,55,25,6,7,5,12,138,2,9,80,24,23,6,2,,1,2,1,,,
