시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
,,경상자수,89,2,1,2,8,15,29,10,4,10,6,1,1,144,1,,2,8,12,20,18,26,19,20,13,5,129,2,1,3,8,14,15,17,22,25,11,6,5,139,5,2,0,15,21,25,16,22,10,16,4,3,181,3,,4,14,24,33,30,27,16,15,8,7
,,부상신고자수,11,0,0,0,0,1,4,1,2,1,2,0,0,3,0,,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,2,2,0,0,1,0,0,11,1,,0,1,0,1,2,3,2,0,0,1
,순천시,사고건수,251,1,2,7,21,30,38,30,39,34,30,13,6,237,1,2,8,14,40,38,33,37,26,20,13,5,246,5,,15,21,35,34,36,30,23,36,10,1,274,3,2,12,17,45,44,41,36,21,34,15,4,261,1,3,7,16,33,37,38,29,41,38,9,9
,,사망자수,20,0,0,1,4,1,1,2,3,2,4,1,1,16,0,0,1,1,0,3,0,4,2,4,1,0,12,0,,0,1,1,1,1,1,1,5,0,1,16,0,1,2,0,0,2,2,1,1,7,0,0,13,0,0,2,1,1,1,2,3,1,0,0,2
,,부상자수,255,1,2,7,20,32,38,36,41,33,26,14,5,266,1,3,8,13,43,53,36,44,29,18,13,5,260,5,,15,21,37,35,44,31,27,35,10,0,311,4,1,16,20,52,50,43,42,26,32,21,4,295,1,4,6,19,34,45,49,31,47,41,11,7
,,중상자수,121,0,0,2,11,17,23,16,21,15,14,1,1,145,0,0,7,10,25,25,21,20,16,11,8,2,136,2,,12,12,23,17,16,15,13,20,6,0,135,2,1,9,13,22,20,12,20,12,16,5,3,113,0,0,2,10,14,21,20,9,15,15,5,2
,,경상자수,125,1,2,5,8,15,12,20,20,14,12,12,4,101,1,3,1,3,15,23,11,19,11,7,4,3,115,3,,3,8,13,17,27,15,13,13,3,0,169,2,0,7,7,30,29,30,21,12,16,14,1,175,1,4,4,9,19,23,29,21,30,25,5,5
,,부상신고자수,9,0,0,0,1,0,3,0,0,4,0,1,0,20,0,0,0,0,3,5,4,5,2,0,1,0,9,0,,0,1,1,1,1,1,1,2,1,0,7,0,0,0,0,0,1,1,1,2,0,2,0,7,0,0,0,0,1,1,0,1,2,1,1,0
,나주시,사고건수,173,,,,11,29,37,25,31,20,13,5,2,171,1,,2,6,32,28,22,23,25,23,7,2,178,,,4,13,30,28,24,33,24,15,4,3,200,2,,5,9,38,32,30,34,22,23,4,1,183,,,1,11,28,38,33,17,18,28,7,2
,,사망자수,13,,,,2,1,2,1,3,1,1,2,0,13,0,,1,0,0,2,2,1,2,4,0,1,9,,,0,0,3,0,2,1,1,2,0,0,12,0,,1,1,1,0,3,2,0,4,0,0,16,,,0,1,1,3,3,0,2,5,1,0
,,부상자수,190,,,,12,31,42,30,30,19,19,5,2,189,1,,1,6,49,31,21,24,25,22,8,1,208,,,6,15,29,35,28,38,28,21,4,4,226,2,,7,11,47,36,33,40,25,20,4,1,206,,,2,11,34,41,42,20,20,27,7,2
,,중상자수,61,,,,4,10,16,9,12,5,3,2,0,68,0,,1,2,17,12,8,8,10,6,3,1,73,,,2,4,15,10,13,13,7,8,0,1,90,0,,2,5,14,18,14,11,7,14,4,1,75,,,2,4,10,15,15,8,6,10,4,1
,,경상자수,126,,,,8,21,24,20,18,14,16,3,2,109,1,,0,3,30,16,11,15,12,16,5,0,125,,,4,11,12,24,12,24,19,12,4,3,128,2,,5,6,31,16,18,27,17,6,0,0,129,,,0,7,24,25,27,12,13,17,3,1
,,부상신고자수,3,,,,0,0,2,1,0,0,0,0,0,12,0,,0,1,2,3,2,1,3,0,0,0,10,,,0,0,2,1,3,1,2,1,0,0,8,0,,0,0,2,2,1,2,1,0,0,0,2,,,0,0,0,1,0,0,1,0,0,0
,광양시,사고건수,117,1,2,1,10,16,16,11,19,22,11,6,2,140,3,1,4,6,27,28,21,14,15,11,7,3,138,1,,2,13,22,20,22,20,15,17,4,2,115,,1,1,8,14,18,23,14,16,16,3,1,123,3,,5,6,23,27,15,13,15,11,5,
,,사망자수,7,0,0,1,0,0,0,0,1,2,1,2,0,10,0,1,0,0,1,3,1,0,1,3,0,0,7,0,,1,0,1,2,1,1,0,1,0,0,4,,0,0,0,0,2,1,0,0,1,0,0,6,0,,1,0,1,1,0,0,0,1,2,
,,부상자수,120,1,2,0,10,16,19,12,18,20,16,4,2,142,3,0,4,9,28,26,21,16,15,9,7,4,154,1,,1,17,22,21,25,26,18,16,5,2,126,,1,1,10,17,19,24,17,16,17,3,1,133,3,,5,6,29,29,16,13,15,14,3,
,,중상자수,56,1,2,0,6,7,9,4,11,9,4,2,1,58,0,0,1,6,15,12,7,6,5,3,3,0,72,0,,0,10,10,12,10,12,5,11,2,0,45,,0,1,2,6,7,10,5,8,4,2,0,52,2,,3,1,14,9,6,5,5,6,1,
,,경상자수,60,0,0,0,3,9,8,8,7,11,12,2,0,77,3,0,3,3,12,14,11,9,10,5,3,4,75,1,,1,6,11,9,13,13,11,5,3,2,76,,1,0,7,11,11,14,12,7,11,1,1,74,1,,2,5,15,19,8,8,7,7,2,
,,부상신고자수,4,0,0,0,1,0,2,0,0,0,0,0,1,7,0,0,0,0,1,0,3,1,0,1,1,0,7,0,,0,1,1,0,2,1,2,0,0,0,5,,0,0,1,0,1,0,0,1,2,0,0,7,0,,0,0,0,1,2,0,3,1,0,
,담양군,사고건수,88,,,3,8,13,10,12,19,9,12,2,,112,,,,6,7,20,19,22,17,13,6,2,95,,1,3,5,14,18,14,22,7,8,3,,108,2,,,3,13,22,19,17,22,6,1,3,110,1,,2,5,11,18,23,20,21,7,1,1
,,사망자수,6,,,1,1,2,0,0,1,0,1,0,,7,,,,1,1,1,0,1,2,1,0,0,11,,0,0,0,1,2,3,2,1,0,2,,9,0,,,0,2,1,1,2,3,0,0,0,10,0,,0,2,0,1,1,1,3,1,0,1
,,부상자수,99,,,3,8,13,10,16,22,13,12,2,,148,,,,6,8,42,28,22,17,17,6,2,112,,1,4,5,19,20,19,28,6,9,1,,114,2,,,4,11,23,20,19,22,9,1,3,118,1,,2,4,13,19,29,22,21,6,1,0
,,중상자수,37,,,0,3,5,1,5,10,5,6,2,,35,,,,1,3,9,3,6,5,5,2,1,44,,1,2,3,6,3,8,13,2,6,0,,42,0,,,3,6,9,5,5,9,2,1,2,52,1,,1,2,3,9,15,11,8,2,0,0
,,경상자수,59,,,3,5,7,8,11,11,8,6,0,,111,,,,5,5,33,24,16,11,12,4,1,66,,0,2,2,13,16,10,15,4,3,1,,71,2,,,1,5,14,15,14,12,7,0,1,66,0,,1,2,10,10,14,11,13,4,1,0
,,부상신고자수,3,,,0,0,1,1,0,1,0,0,0,,2,,,,0,0,0,1,0,1,0,0,0,2,,0,0,0,0,1,1,0,0,0,0,,1,0,,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
,곡성군,사고건수,51,,,,4,4,11,3,11,8,4,5,1,54,,,1,1,11,10,7,10,6,7,1,,52,,1,,4,9,7,8,9,9,3,,2,71,,,2,6,9,13,16,8,8,6,3,,60,1,1,1,1,9,14,10,8,10,5,,
,,사망자수,3,,,,1,0,1,0,0,0,1,0,0,2,,,0,0,0,1,0,1,0,0,0,,5,,1,,0,0,0,1,0,3,0,,0,10,,,1,2,2,1,1,0,2,1,0,,1,0,0,0,0,0,0,0,0,0,1,,
,,부상자수,55,,,,4,4,11,3,12,12,3,5,1,64,,,2,1,13,13,8,10,6,10,1,,63,,1,,4,19,7,9,9,9,3,,2,75,,,1,5,12,13,19,10,6,6,3,,69,2,1,1,1,13,15,13,9,10,4,,
,,중상자수,35,,,,3,2,7,3,10,8,0,2,0,21,,,0,1,7,4,2,1,3,2,1,,28,,1,,2,4,3,7,4,4,2,,1,31,,,0,2,7,5,7,3,1,3,3,,31,1,1,1,0,5,7,6,4,5,1,,
,,경상자수,18,,,,1,2,2,0,2,4,3,3,1,43,,,2,0,6,9,6,9,3,8,0,,35,,0,,2,15,4,2,5,5,1,,1,42,,,1,3,4,8,12,6,5,3,0,,35,1,0,0,1,7,8,7,5,4,2,,
,,부상신고자수,2,,,,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,,0,2,,,0,0,1,0,0,1,0,0,0,,3,0,0,0,0,1,0,0,0,1,1,,
,구례군,사고건수,54,,,,,8,8,7,13,10,5,2,1,57,1,,,4,7,8,11,12,5,9,,,68,,,,6,6,4,5,23,11,10,2,1,57,,,1,2,11,13,9,11,3,6,1,,48,,1,,3,6,9,10,7,6,5,1,
,,사망자수,4,,,,,0,1,2,1,0,0,0,0,5,0,,,1,0,0,3,0,0,1,,,5,,,,0,1,0,0,1,1,2,0,0,2,,,0,0,0,1,0,0,0,1,0,,3,,0,,1,0,0,0,1,1,0,0,
,,부상자수,60,,,,,9,9,5,19,10,5,2,1,58,2,,,3,8,8,11,12,6,8,,,80,,,,6,5,6,5,33,13,9,2,1,78,,,1,2,15,16,10,21,4,8,1,,54,,1,,2,8,11,12,6,8,5,1,
,,중상자수,30,,,,,2,6,2,11,4,2,2,1,23,0,,,2,2,4,6,5,2,2,,,31,,,,4,2,3,2,9,5,4,1,1,27,,,1,1,5,5,4,6,1,4,0,,18,,0,,0,5,3,6,0,2,1,1,
,,경상자수,26,,,,,6,3,2,7,5,3,0,0,29,2,,,1,6,4,4,4,3,5,,,49,,,,2,3,3,3,24,8,5,1,0,48,,,0,1,9,11,6,14,3,3,1,,33,,1,,2,3,7,5,6,6,3,0,
,,부상신고자수,4,,,,,1,0,1,1,1,0,0,0,6,0,,,0,0,0,1,3,1,1,,,0,,,,0,0,0,0,0,0,0,0,0,3,,,0,0,1,0,0,1,0,1,0,,3,,0,,0,0,1,1,0,0,1,0,
,고흥군,사고건수,117,,,4,7,26,22,15,16,16,9,2,,134,,,,8,24,30,18,19,16,15,4,,129,,1,2,6,32,19,17,22,17,11,2,,141,1,,2,11,24,19,17,33,15,15,4,,121,,,1,11,31,15,14,16,17,12,2,2
,,사망자수,15,,,1,1,1,1,3,4,3,1,0,,8,,,,0,0,5,1,0,1,1,0,,14,,0,0,0,3,2,2,2,3,1,1,,9,0,,0,2,2,2,1,0,0,2,0,,7,,,0,0,2,0,1,2,1,1,0,0
,,부상자수,130,,,3,8,29,26,16,17,15,14,2,,151,,,,8,31,32,18,23,17,18,4,,136,,1,3,9,34,18,15,23,20,12,1,,149,1,,2,10,22,18,20,39,19,14,4,,140,,,1,12,33,22,16,17,21,13,2,3
,,중상자수,67,,,2,4,13,13,5,12,5,11,2,,81,,,,5,17,12,13,14,7,10,3,,81,,1,3,5,17,11,11,13,13,7,0,,78,0,,1,7,16,6,11,16,8,10,3,,74,,,0,7,20,14,6,7,10,8,2,0
,,경상자수,59,,,1,4,14,12,11,5,10,2,0,,67,,,,3,13,20,4,9,9,8,1,,52,,0,0,4,16,6,3,10,7,5,1,,69,1,,1,3,6,12,9,22,11,3,1,,63,,,1,4,12,8,10,9,11,5,0,3
,,부상신고자수,4,,,0,0,2,1,0,0,0,1,0,,3,,,,0,1,0,1,0,1,0,0,,3,,0,0,0,1,1,1,0,0,0,0,,2,0,,0,0,0,0,0,1,0,1,0,,3,,,0,1,1,0,0,1,0,0,0,0
,보성군,사고건수,100,,,,6,17,21,9,20,13,9,4,1,111,,1,,9,13,19,11,20,22,10,6,,97,1,,5,6,17,21,11,11,12,11,1,1,101,,,1,6,10,17,16,16,18,11,6,,136,1,1,1,3,26,20,21,28,14,15,5,1
,,사망자수,11,,,,1,1,0,1,3,2,1,1,1,10,,0,,0,0,2,0,3,3,2,0,,6,0,,2,0,0,1,1,1,0,1,0,0,15,,,0,0,1,2,2,4,2,1,3,,10,0,0,0,0,1,4,1,2,0,1,1,0
,,부상자수,112,,,,9,20,22,16,19,13,8,5,0,127,,2,,11,16,18,14,24,23,9,10,,119,1,,3,7,19,23,14,14,22,14,1,1,96,,,6,8,9,15,15,12,17,11,3,,160,1,1,1,10,29,16,24,35,16,18,8,1
,,중상자수,56,,,,2,8,16,9,12,6,2,1,0,54,,2,,6,7,10,6,8,8,6,1,,48,1,,2,2,6,10,7,8,7,4,1,0,39,,,5,6,3,5,3,4,8,4,1,,66,0,0,0,6,11,4,10,12,11,10,1,1
,,경상자수,50,,,,6,12,6,5,7,5,6,3,0,67,,0,,5,8,7,8,15,14,2,8,,67,0,,1,5,13,13,6,5,14,10,0,0,49,,,1,2,5,7,10,8,8,6,2,,85,1,0,1,4,16,11,13,22,5,5,7,0
,,부상신고자수,6,,,,1,0,0,2,0,2,0,1,0,6,,0,,0,1,1,0,1,1,1,1,,4,0,,0,0,0,0,1,1,1,0,0,1,8,,,0,0,1,3,2,0,1,1,0,,9,0,1,0,0,2,1,1,1,0,3,0,0
,화순군,사고건수,63,,,2,1,13,12,7,9,12,6,,1,97,2,1,2,4,14,10,13,16,13,13,7,2,82,,,,6,10,9,19,11,16,9,1,1,91,,,,3,18,17,15,13,14,6,5,,90,1,,,4,13,14,18,16,12,9,3,
,,사망자수,5,,,1,0,0,0,2,0,1,1,,0,9,1,0,0,0,3,1,0,0,1,2,1,0,6,,,,0,0,1,2,1,1,1,0,0,6,,,,0,1,2,0,1,1,1,0,,4,1,,,0,0,1,1,1,0,0,0,
,,부상자수,72,,,1,1,20,12,6,10,15,6,,1,111,1,1,2,4,16,13,16,17,14,16,9,2,97,,,,6,12,8,27,12,20,10,1,1,100,,,,3,20,18,20,14,15,5,5,,110,0,,,4,13,18,20,22,20,9,4,
,,중상자수,28,,,1,0,7,6,1,4,5,3,,1,39,0,0,2,1,4,2,7,7,3,8,4,1,44,,,,6,6,2,14,4,7,4,0,1,38,,,,3,8,9,6,4,3,2,3,,41,0,,,1,5,7,8,7,6,4,3,
,,경상자수,39,,,0,1,11,5,4,6,9,3,,0,61,1,1,0,3,9,9,6,8,10,8,5,1,49,,,,0,5,6,12,7,12,6,1,0,52,,,,0,9,7,12,8,11,3,2,,58,0,,,2,7,9,9,13,12,5,1,
,,부상신고자수,5,,,0,0,2,1,1,0,1,0,,0,11,0,0,0,0,3,2,3,2,1,0,0,0,4,,,,0,1,0,1,1,1,0,0,0,10,,,,0,3,2,2,2,1,0,0,,11,0,,,1,1,2,3,2,2,0,0,
,장흥군,사고건수,89,,1,1,8,14,15,10,15,11,11,3,,102,,,3,8,20,15,14,15,12,11,4,,100,,,2,4,20,21,9,15,12,14,3,,112,,1,5,12,15,21,15,20,14,6,3,,116,1,1,,14,18,21,15,18,14,8,6,
,,사망자수,7,,1,1,1,0,0,0,0,2,1,1,,4,,,0,0,0,0,3,0,0,1,0,,8,,,0,0,1,2,0,1,1,3,0,,7,,0,3,0,1,0,0,2,0,1,0,,6,0,1,,2,1,1,0,0,0,1,0,
,,부상자수,99,,0,0,10,20,17,11,16,9,14,2,,122,,,4,10,22,16,14,17,20,15,4,,108,,,2,4,23,22,9,18,13,14,3,,123,,1,2,13,14,26,16,26,17,5,3,,139,1,0,,16,18,24,23,26,14,9,8,
,,중상자수,44,,0,0,6,6,5,6,5,6,10,0,,67,,,4,4,11,11,7,10,9,8,3,,56,,,2,2,15,9,4,9,4,9,2,,51,,0,1,7,3,14,6,9,8,1,2,,49,1,0,,6,4,10,5,12,6,2,3,
,,경상자수,53,,0,0,3,14,12,5,10,3,4,2,,53,,,0,5,10,5,7,7,11,7,1,,49,,,0,2,8,12,5,8,9,5,0,,67,,1,1,6,11,12,10,16,7,2,1,,87,0,0,,10,14,14,17,14,7,6,5,
,,부상신고자수,2,,0,0,1,0,0,0,1,0,0,0,,2,,,0,1,1,0,0,0,0,0,0,,3,,,0,0,0,1,0,1,0,0,1,,5,,0,0,0,0,0,0,1,2,2,0,,3,0,0,,0,0,0,1,0,1,1,0,
,강진군,사고건수,75,,,,7,13,12,13,16,6,7,1,,86,,,1,6,18,19,14,10,10,4,4,,115,,,3,10,28,17,12,18,17,5,2,3,130,,1,3,7,21,18,27,18,17,17,1,,120,,1,3,5,22,26,16,16,17,11,1,2
,,사망자수,4,,,,1,0,1,0,1,0,1,0,,5,,,0,1,2,0,0,0,1,0,1,,7,,,1,1,2,0,0,1,1,0,0,1,6,,0,1,0,1,0,0,0,1,3,0,,6,,1,1,0,0,1,0,0,2,0,0,1
,,부상자수,107,,,,26,16,14,17,19,7,7,1,,99,,,1,5,18,24,17,12,14,5,3,,135,,,4,17,29,23,15,18,19,5,2,3,168,,1,2,14,26,21,34,25,25,19,1,,153,,0,7,7,25,37,23,20,19,13,1,1
,,중상자수,36,,,,3,5,7,10,4,4,2,1,,44,,,0,3,9,10,8,4,5,2,3,,55,,,2,8,10,9,5,7,11,1,0,2,47,,1,1,3,10,3,10,6,9,4,0,,45,,0,5,1,7,11,6,5,4,5,0,1
,,경상자수,70,,,,23,11,6,7,15,3,5,0,,53,,,1,2,9,13,9,8,9,2,0,,76,,,2,9,18,14,8,10,8,4,2,1,114,,0,1,11,14,17,23,18,16,13,1,,104,,0,2,6,17,26,15,15,15,8,0,0
,,부상신고자수,1,,,,0,0,1,0,0,0,0,0,,2,,,0,0,0,1,0,0,0,1,0,,4,,,0,0,1,0,2,1,0,0,0,0,7,,0,0,0,2,1,1,1,0,2,0,,4,,0,0,0,1,0,2,0,0,0,1,0
,해남군,사고건수,123,,,5,7,26,19,23,16,19,4,2,2,118,1,,2,9,22,23,16,14,20,7,2,2,138,,,2,10,19,28,23,19,16,16,4,1,144,,,4,9,22,33,23,24,16,9,4,,136,3,,1,11,27,31,24,13,12,7,4,3
,,사망자수,17,,,0,0,3,3,2,4,2,1,1,1,9,0,,1,0,0,1,3,1,1,1,1,0,14,,,1,2,2,4,0,3,0,1,1,0,11,,,0,0,3,0,3,1,1,3,0,,11,0,,0,3,0,2,3,0,0,2,0,1
,,부상자수,138,,,5,9,26,25,29,18,21,3,1,1,135,1,,1,10,28,31,15,16,23,7,1,2,161,,,1,10,25,25,29,21,24,21,4,1,156,,,5,12,22,41,21,25,18,7,5,,150,3,,1,8,31,38,24,20,12,7,4,2
,,중상자수,58,,,2,8,9,9,12,11,5,1,1,0,57,1,,0,6,13,12,8,5,8,3,0,1,55,,,0,5,5,9,9,4,12,9,2,0,63,,,3,6,9,16,8,12,6,2,1,,67,1,,1,4,16,16,9,9,6,2,2,1
,,경상자수,72,,,3,1,17,15,16,6,13,1,0,0,63,0,,0,4,14,16,6,9,10,3,1,0,100,,,1,5,19,16,19,17,11,9,2,1,89,,,2,6,12,24,13,13,11,4,4,,80,2,,0,3,14,22,15,10,6,5,2,1
,,부상신고자수,8,,,0,0,0,1,1,1,3,1,0,1,15,0,,1,0,1,3,1,2,5,1,0,1,6,,,0,0,1,0,1,0,1,3,0,0,4,,,0,0,1,1,0,0,1,1,0,,3,0,,0,1,1,0,0,1,0,0,0,0
,영암군,사고건수,125,,,,8,21,28,16,17,13,15,7,,116,,,,1,19,20,24,17,11,16,7,1,124,,,1,10,23,20,16,22,17,6,8,1,100,,2,2,9,16,18,12,10,17,11,3,,138,,,2,17,22,26,22,15,20,14,,
,,사망자수,12,,,,1,1,3,2,3,0,2,0,,6,,,,0,1,1,1,0,0,3,0,0,13,,,1,2,4,1,1,0,0,1,3,0,7,,0,0,1,0,2,2,0,0,1,1,,13,,,0,0,3,1,0,0,7,2,,
,,부상자수,136,,,,8,24,33,18,15,13,17,8,,148,,,,2,22,24,35,25,15,16,8,1,128,,,0,11,23,20,18,26,19,5,5,1,115,,2,2,9,21,22,13,11,21,12,2,,179,,,3,22,26,36,26,17,35,14,,
,,중상자수,57,,,,3,12,12,7,6,8,5,4,,59,,,,0,9,12,13,13,6,2,3,1,50,,,0,4,14,7,8,9,4,2,2,0,40,,1,0,1,9,9,4,3,7,5,1,,72,,,2,11,13,13,9,8,12,4,,
,,경상자수,79,,,,5,12,21,11,9,5,12,4,,86,,,,2,12,12,22,10,9,14,5,0,74,,,0,7,8,13,9,17,14,2,3,1,72,,1,2,8,12,13,8,6,14,7,1,,106,,,1,11,13,23,16,9,23,10,,
,,부상신고자수,0,,,,0,0,0,0,0,0,0,0,,3,,,,0,1,0,0,2,0,0,0,0,4,,,0,0,1,0,1,0,1,1,0,0,3,,0,0,0,0,0,1,2,0,0,0,,1,,,0,0,0,0,1,0,0,0,,
,무안군,사고건수,130,1,1,2,10,22,22,16,23,17,11,5,,124,,,1,9,15,26,12,25,14,16,6,,114,1,,4,8,8,23,12,18,24,10,4,2,128,1,,,12,13,22,18,15,23,20,4,,88,1,,1,3,18,16,18,14,10,3,3,1
,,사망자수,8,0,0,1,1,1,1,1,1,0,1,1,,6,,,0,1,0,1,2,0,0,1,1,,5,0,,0,2,1,0,1,1,0,0,0,0,10,0,,,2,1,2,1,2,0,2,0,,3,0,,0,0,1,1,1,0,0,0,0,0
,,부상자수,146,1,1,2,11,25,25,17,25,18,15,6,,138,,,3,8,16,29,13,27,15,20,7,,146,1,,5,7,11,30,12,22,40,11,4,3,155,1,,,10,22,25,21,14,35,19,8,,100,1,,1,3,21,17,20,19,10,3,4,1
,,중상자수,50,0,0,1,3,15,7,6,9,8,1,0,,49,,,1,4,5,9,3,10,5,9,3,,59,0,,2,3,6,8,5,9,21,4,0,1,81,1,,,7,6,14,10,6,23,10,4,,40,0,,1,1,11,6,3,9,5,1,2,1
,,경상자수,76,1,1,0,4,9,17,9,13,5,12,5,,83,,,2,4,9,19,10,16,9,11,3,,83,1,,3,4,3,21,7,13,18,7,4,2,70,0,,,3,16,11,9,7,11,9,4,,59,1,,0,2,10,10,17,10,5,2,2,0
,,부상신고자수,20,0,0,1,4,1,1,2,3,5,2,1,,6,,,0,0,2,1,0,1,1,0,1,,4,0,,0,0,2,1,0,0,1,0,0,0,4,0,,,0,0,0,2,1,1,0,0,,1,0,,0,0,0,1,0,0,0,0,0,0
,함평군,사고건수,65,,,2,3,11,14,8,12,7,7,1,,72,,,,3,9,15,14,14,5,8,3,1,72,,,,5,10,16,11,13,8,7,2,,77,,,1,3,16,16,11,14,11,5,,,82,1,,1,2,10,14,21,17,9,7,,
,,사망자수,6,,,0,0,1,2,0,2,0,1,0,,5,,,,3,0,0,1,0,0,1,0,0,9,,,,0,0,1,3,4,0,1,0,,3,,,0,1,0,0,0,0,2,0,,,4,0,,0,0,0,1,1,1,0,1,,
,,부상자수,89,,,2,4,17,22,14,11,8,10,1,,76,,,,0,10,16,18,15,6,7,3,1,96,,,,17,12,25,12,10,10,8,2,,101,,,1,3,19,22,17,18,15,6,,,102,1,,1,3,12,17,30,23,9,6,,
,,중상자수,38,,,2,4,8,8,6,3,3,4,0,,23,,,,0,6,4,0,5,3,3,2,0,31,,,,3,2,6,9,4,3,4,0,,27,,,0,2,4,8,7,4,2,0,,,33,0,,0,0,4,7,12,8,1,1,,
,,경상자수,48,,,0,0,7,14,8,7,5,6,1,,50,,,,0,4,11,18,9,3,4,1,0,54,,,,13,6,16,3,5,5,4,2,,53,,,0,1,11,12,8,6,11,4,,,56,1,,0,1,8,8,15,14,6,3,,
,,부상신고자수,3,,,0,0,2,0,0,1,0,0,0,,3,,,,0,0,1,0,1,0,0,0,1,11,,,,1,4,3,0,1,2,0,0,,21,,,1,0,4,2,2,8,2,2,,,13,0,,1,2,0,2,3,1,2,2,,
,영광군,사고건수,90,,,2,2,17,20,7,22,8,8,3,1,100,,,,6,20,15,18,14,10,14,3,,111,1,,,8,17,18,18,21,13,8,7,,105,1,,1,7,13,24,17,16,11,10,4,1,92,2,,1,7,18,20,10,12,11,6,4,1
,,사망자수,10,,,0,1,2,4,0,1,1,0,1,0,15,,,,1,4,3,0,2,1,3,1,,10,0,,,2,1,3,0,1,1,1,1,,8,0,,1,1,0,2,0,2,1,1,0,0,8,0,,0,1,1,0,0,1,1,2,1,1
,,부상자수,97,,,2,2,17,22,8,25,8,10,2,1,111,,,,6,20,14,28,16,10,15,2,,124,1,,,8,18,20,23,22,15,9,8,,107,1,,0,7,14,25,20,15,11,9,4,1,105,2,,2,7,22,29,12,13,11,4,3,0
,,중상자수,52,,,1,2,10,11,2,15,4,5,2,0,46,,,,2,8,5,14,8,2,5,2,,46,1,,,3,8,10,6,4,7,4,3,,53,1,,0,4,5,12,13,8,7,2,0,1,48,0,,2,6,11,12,5,5,3,2,2,0
,,경상자수,40,,,1,0,6,10,3,10,4,5,0,1,59,,,,4,11,8,12,8,7,9,0,,72,0,,,5,7,9,17,17,8,5,4,,50,0,,0,3,9,12,6,6,4,6,4,0,52,2,,0,0,10,15,7,7,8,2,1,0
,,부상신고자수,5,,,0,0,1,1,3,0,0,0,0,0,6,,,,0,1,1,2,0,1,1,0,,6,0,,,0,3,1,0,1,0,0,1,,4,0,,0,0,0,1,1,1,0,1,0,0,5,0,,0,1,1,2,0,1,0,0,0,0
,장성군,사고건수,65,,,2,4,16,11,6,8,12,5,1,,68,,,1,1,14,15,9,11,11,3,2,1,75,1,,1,6,15,13,9,13,7,9,1,,87,,,,6,13,16,7,18,16,6,3,2,74,1,,1,8,11,16,8,11,13,4,,1
,,사망자수,2,,,0,0,1,0,1,0,0,0,0,,2,,,0,0,0,0,0,1,1,0,0,0,8,0,,0,2,1,1,1,1,1,1,0,,6,,,,1,2,2,0,0,0,0,0,1,4,0,,0,2,0,0,1,0,1,0,,0
,,부상자수,87,,,5,4,18,12,6,13,20,7,2,,80,,,1,2,16,19,10,14,11,4,2,1,80,1,,1,4,18,13,9,15,10,8,1,,94,,,,6,14,20,7,18,17,7,4,1,86,1,,1,7,13,19,10,13,16,5,,1
,,중상자수,32,,,4,1,8,6,3,3,7,0,0,,32,,,1,2,8,7,3,4,4,1,1,1,23,0,,1,2,5,4,5,2,4,0,0,,32,,,,3,4,7,2,6,7,2,1,0,24,1,,1,2,2,7,3,3,4,1,,0
,,경상자수,53,,,1,3,10,5,3,10,12,7,2,,43,,,0,0,8,12,7,7,5,3,1,0,53,1,,0,1,12,7,4,13,6,8,1,,54,,,,3,8,11,5,9,9,5,3,1,53,0,,0,4,9,11,6,10,9,4,,0
,,부상신고자수,2,,,0,0,0,1,0,0,1,0,0,,5,,,0,0,0,0,0,3,2,0,0,0,4,0,,0,1,1,2,0,0,0,0,0,,8,,,,0,2,2,0,3,1,0,0,0,9,0,,0,1,2,1,1,0,3,0,,1
,완도군,사고건수,42,,,,4,5,4,7,12,7,2,,1,64,2,1,2,10,11,8,10,5,8,5,,2,64,,,2,9,14,10,2,13,4,8,2,,72,2,,,4,11,16,8,11,12,5,3,,63,,,1,3,11,16,9,8,7,6,2,
,,사망자수,4,,,,1,0,1,1,0,0,0,,1,8,1,0,0,3,1,0,1,0,1,1,,0,10,,,1,1,0,1,0,3,0,3,1,,4,0,,,0,2,0,0,0,2,0,0,,6,,,0,0,1,1,1,0,2,1,0,
