시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
,,경상자수,18,0,3,0,1,3,1,3,4,1,0,2,0,43,,5,6,2,4,1,3,4,1,7,7,3,35,11,2,0,5,1,1,2,2,,4,6,1,42,4,0,6,2,4,5,3,2,4,5,6,1,35,1,0,1,5,10,3,2,3,1,2,3,4
,,부상신고자수,2,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1
,구례군,사고건수,54,,1,8,,9,10,4,1,8,8,5,,57,3,5,7,5,7,3,2,5,3,8,5,4,68,3,1,5,5,4,5,2,11,11,6,10,5,57,3,1,2,2,7,8,4,5,4,8,7,6,48,2,3,3,5,7,3,4,3,8,2,1,7
,,사망자수,4,,1,2,,0,0,0,0,1,0,0,,5,0,1,1,1,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,1,0,0,1,0,0,0
,,부상자수,60,,0,6,,13,11,5,2,8,10,5,,58,3,5,11,4,7,3,2,4,2,8,5,4,80,3,2,5,5,5,6,2,12,11,7,16,6,78,3,1,2,4,9,10,5,7,7,9,15,6,54,2,3,4,5,8,2,6,3,8,2,1,10
,,중상자수,30,,0,2,,6,7,2,2,3,7,1,,23,0,1,4,3,4,1,1,1,2,2,4,0,31,1,0,2,3,2,2,1,5,5,3,4,3,27,0,0,1,2,5,0,2,3,3,3,5,3,18,0,0,0,1,3,1,4,2,3,1,0,3
,,경상자수,26,,0,4,,5,4,1,0,5,3,4,,29,1,4,6,1,2,1,1,3,0,5,1,4,49,2,2,3,2,3,4,1,7,6,4,12,3,48,2,1,1,2,4,9,3,4,3,6,10,3,33,2,3,3,4,5,1,2,1,4,1,0,7
,,부상신고자수,4,,0,0,,2,0,2,0,0,0,0,,6,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0
,고흥군,사고건수,117,7,10,8,9,10,13,11,9,5,11,15,9,134,8,8,10,17,7,13,15,13,15,9,7,12,129,7,11,13,14,9,11,15,9,10,9,11,10,141,7,12,7,19,17,10,12,12,12,10,13,10,121,5,7,6,14,8,9,6,13,12,15,15,11
,,사망자수,15,0,2,4,1,2,1,1,0,1,0,2,1,8,0,0,0,0,0,1,0,3,0,0,3,1,14,0,1,2,0,0,1,2,1,4,1,1,1,9,0,0,2,1,0,0,1,2,1,0,1,1,7,0,0,1,1,0,0,0,1,1,1,0,2
,,부상자수,130,9,11,6,17,8,12,14,9,5,13,16,10,151,9,9,12,21,9,13,17,16,19,9,4,13,136,8,10,13,18,9,13,16,8,7,8,13,13,149,8,14,5,23,17,12,14,10,14,10,13,9,140,5,8,6,16,9,10,9,17,13,15,23,9
,,중상자수,67,4,4,2,9,5,6,9,6,2,6,6,8,81,4,5,9,11,7,7,12,7,8,7,1,3,81,6,7,8,11,6,8,7,8,5,5,5,5,78,2,7,1,14,7,5,9,4,9,6,10,4,74,2,2,3,9,3,7,4,9,7,8,13,7
,,경상자수,59,4,7,4,8,3,4,5,2,3,7,10,2,67,5,4,2,9,2,5,5,9,11,2,3,10,52,2,3,5,7,2,4,8,0,2,3,8,8,69,6,6,4,9,9,7,5,6,5,4,3,5,63,3,6,3,5,6,3,5,8,5,7,10,2
,,부상신고자수,4,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0
,보성군,사고건수,100,7,4,8,9,14,11,7,10,6,9,6,9,111,8,8,9,5,8,7,8,8,7,14,15,14,97,6,5,10,11,8,3,7,12,13,6,12,4,101,5,6,7,8,8,13,3,12,11,9,10,9,136,6,14,13,8,12,9,10,7,15,18,14,10
,,사망자수,11,2,0,1,0,3,0,0,0,1,1,1,2,10,1,0,1,0,4,0,0,1,0,2,1,0,6,1,0,1,1,0,0,0,1,0,0,2,0,15,0,1,1,0,3,2,0,2,0,2,1,3,10,1,2,1,0,1,0,1,0,0,1,2,1
,,부상자수,112,5,4,8,10,19,13,8,14,5,11,5,10,127,9,9,9,8,5,7,14,10,8,12,18,18,119,5,6,12,15,9,5,9,13,16,8,10,11,96,5,5,6,13,5,11,3,13,11,7,10,7,160,15,17,15,8,11,9,15,10,15,21,13,11
,,중상자수,56,3,2,5,6,9,7,3,4,5,4,3,5,54,7,3,6,1,2,3,5,3,2,7,6,9,48,5,2,5,8,3,2,2,6,3,4,5,3,39,2,0,2,9,0,5,3,5,4,1,4,4,66,7,2,8,2,8,5,5,3,6,9,5,6
,,경상자수,50,2,2,2,4,8,5,5,10,0,6,2,4,67,2,5,3,7,2,4,8,6,6,4,12,8,67,0,4,7,7,5,3,5,7,13,3,5,8,49,3,4,4,4,5,4,0,6,6,5,5,3,85,8,12,7,4,3,3,8,7,9,11,8,5
,,부상신고자수,6,0,0,1,0,2,1,0,0,0,1,0,1,6,0,1,0,0,1,0,1,1,0,1,0,1,4,0,0,0,0,1,0,2,0,0,1,0,0,8,0,1,0,0,0,2,0,2,1,1,1,0,9,0,3,0,2,0,1,2,0,0,1,0,0
,화순군,사고건수,63,4,2,6,4,8,5,7,7,3,5,6,6,97,5,1,13,13,8,8,10,9,5,11,8,6,82,3,2,11,6,7,8,6,6,9,7,11,6,91,6,5,8,9,6,7,8,5,12,10,12,3,90,7,3,10,5,4,10,10,8,8,8,8,9
,,사망자수,5,0,0,0,0,1,0,0,1,1,1,0,1,9,1,0,2,0,0,3,1,1,0,0,0,1,6,1,0,2,0,1,0,0,0,0,0,2,0,6,2,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,2
,,부상자수,72,5,2,6,4,9,5,11,6,2,6,7,9,111,8,3,11,19,8,9,9,11,7,12,8,6,97,5,2,12,9,7,12,9,7,9,10,9,6,100,4,5,8,10,7,6,10,5,14,14,13,4,110,9,4,10,6,6,10,12,10,8,9,13,13
,,중상자수,28,4,0,4,1,2,2,6,1,2,1,1,4,39,2,0,3,5,3,0,4,7,2,6,5,2,44,1,2,5,2,1,5,5,5,4,5,5,4,38,2,3,5,5,1,1,4,1,8,2,5,1,41,3,1,5,4,2,5,6,3,3,2,4,3
,,경상자수,39,0,2,2,3,6,3,4,3,0,5,6,5,61,5,3,6,12,3,5,5,4,5,6,3,4,49,4,0,5,7,6,6,4,2,5,5,4,1,52,2,2,2,4,5,4,3,4,5,11,7,3,58,6,3,5,2,4,3,6,6,4,4,8,7
,,부상신고자수,5,1,0,0,0,1,0,1,2,0,0,0,0,11,1,0,2,2,2,4,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,1,3,0,1,1,1,0,11,0,0,0,0,0,2,0,1,1,3,1,3
,장흥군,사고건수,89,6,2,8,6,7,8,6,9,10,9,11,7,102,7,10,3,8,16,13,8,8,14,5,4,6,100,4,9,11,3,11,7,10,10,7,13,10,5,112,9,9,8,13,10,8,9,7,8,12,12,7,116,11,6,9,7,15,10,7,10,9,16,7,9
,,사망자수,7,1,0,0,1,0,1,1,0,2,0,1,0,4,0,1,0,0,0,0,0,1,0,0,1,1,8,0,1,0,0,3,0,0,1,0,3,0,0,7,0,0,3,0,1,0,0,0,1,0,2,0,6,2,0,2,0,0,1,0,0,1,0,0,0
,,부상자수,99,5,2,9,12,8,7,6,9,9,9,11,12,122,8,11,3,10,20,16,9,12,16,6,3,8,108,4,10,16,4,8,8,11,9,8,11,13,6,123,11,12,6,14,13,9,10,7,8,14,12,7,139,12,6,13,9,19,12,8,16,8,18,8,10
,,중상자수,44,1,1,3,10,4,3,3,0,5,4,6,4,67,6,7,2,3,11,8,5,6,9,3,1,6,56,3,3,6,1,3,7,4,5,4,8,8,4,51,5,6,5,6,4,5,3,3,4,4,4,2,49,3,5,5,4,6,4,4,4,1,8,3,2
,,경상자수,53,3,1,6,2,4,4,3,9,4,5,4,8,53,2,4,1,7,9,7,4,6,7,3,1,2,49,0,7,9,3,5,1,7,4,4,3,5,1,67,6,6,1,7,8,3,6,4,3,10,8,5,87,9,1,8,3,13,8,4,11,7,10,5,8
,,부상신고자수,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1,1,1,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0
,강진군,사고건수,75,2,5,6,10,7,8,8,7,8,4,7,3,86,6,11,3,9,8,8,8,5,6,7,7,8,115,5,5,9,13,16,8,9,15,6,11,12,6,130,8,5,12,13,14,7,9,12,9,13,17,11,120,8,4,6,9,12,12,7,11,15,10,16,10
,,사망자수,4,0,1,0,1,0,0,0,0,0,1,1,0,5,1,1,0,0,0,1,0,0,1,0,0,1,7,0,1,0,0,1,1,1,1,1,1,0,0,6,0,0,0,1,1,0,0,0,2,1,1,0,6,0,0,0,1,1,0,1,0,1,0,1,1
,,부상자수,107,3,5,26,10,8,10,9,8,10,5,10,3,99,6,10,7,10,9,7,9,6,5,10,12,8,135,5,13,11,15,19,10,10,15,6,12,13,6,168,10,7,14,23,14,15,13,12,11,13,20,16,153,9,5,6,11,14,19,7,15,15,12,27,13
,,중상자수,36,3,2,2,3,2,4,4,3,5,4,2,2,44,3,8,0,3,4,3,3,1,4,3,8,4,55,3,7,5,5,5,4,5,5,2,6,4,4,47,6,5,5,3,4,3,5,4,3,2,2,5,45,3,2,3,2,1,8,4,3,4,5,3,7
,,경상자수,70,0,3,24,7,5,6,5,5,5,1,8,1,53,3,2,7,7,5,3,6,5,1,7,4,3,76,2,4,6,10,13,5,5,10,4,6,9,2,114,4,2,5,20,10,12,7,8,7,11,17,11,104,6,3,3,8,13,11,3,12,10,7,23,5
,,부상신고자수,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,0,1,1,0,0,0,0,0,0,7,0,0,4,0,0,0,1,0,1,0,1,0,4,0,0,0,1,0,0,0,0,1,0,1,1
,해남군,사고건수,123,10,7,6,9,15,11,15,7,7,12,17,7,118,9,6,10,6,16,5,11,9,15,12,14,5,138,9,6,7,10,17,9,10,12,16,13,15,14,144,7,10,8,14,14,11,7,15,11,17,15,15,136,3,5,12,9,11,18,9,16,18,11,15,9
,,사망자수,17,1,0,2,1,1,3,4,2,0,2,1,0,9,1,0,0,0,5,0,0,0,1,1,1,0,14,2,0,0,1,2,3,0,1,1,1,3,0,11,0,1,0,1,3,0,2,0,3,0,1,0,11,0,1,1,1,0,1,0,1,3,1,1,1
,,부상자수,138,11,7,5,11,19,10,16,6,7,12,23,11,135,11,8,11,6,13,7,14,9,16,20,14,6,161,12,6,9,16,16,10,11,13,20,21,13,14,156,7,11,10,17,12,12,5,20,9,20,17,16,150,3,5,14,8,16,23,11,20,16,11,15,8
,,중상자수,58,4,4,2,6,7,4,9,2,2,9,9,0,57,5,4,5,4,6,4,6,2,7,8,4,2,55,6,1,5,3,5,2,3,8,6,5,4,7,63,3,6,4,6,5,4,3,8,3,10,4,7,67,1,1,8,4,11,9,3,12,7,4,5,2
,,경상자수,72,7,2,3,4,10,5,7,3,5,2,13,11,63,5,4,5,1,5,2,5,6,8,10,8,4,100,3,4,4,12,10,8,8,5,14,16,9,7,89,4,5,6,11,6,8,2,12,5,10,12,8,80,2,4,6,4,5,14,8,8,8,5,10,6
,,부상신고자수,8,0,1,0,1,2,1,0,1,0,1,1,0,15,1,0,1,1,2,1,3,1,1,2,2,0,6,3,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,2,0,0
,영암군,사고건수,125,12,7,11,9,11,8,10,10,16,12,14,5,116,6,7,7,14,17,12,8,4,11,10,8,12,124,4,7,13,9,16,5,14,9,11,15,11,10,100,7,6,1,15,8,4,11,7,13,12,10,6,138,7,10,13,18,14,13,11,9,5,15,11,12
,,사망자수,12,1,0,0,1,1,0,1,0,2,1,4,1,6,1,0,0,1,2,0,0,1,0,0,1,0,13,1,0,3,1,2,1,1,0,1,3,0,0,7,0,0,0,0,0,1,1,0,1,2,2,0,13,3,1,0,0,7,1,0,0,0,0,1,0
,,부상자수,136,13,8,15,8,10,11,11,12,15,16,13,4,148,14,8,10,17,18,12,10,4,17,17,8,13,128,3,10,10,11,15,4,17,9,13,12,11,13,115,7,6,1,17,9,3,18,8,15,11,11,9,179,5,11,15,25,25,15,20,13,5,19,12,14
,,중상자수,57,6,5,4,3,7,3,2,6,8,5,6,2,59,3,5,3,10,8,5,4,1,6,9,1,4,50,0,7,3,5,8,1,5,4,6,2,5,4,40,1,2,0,8,3,1,5,3,6,4,3,4,72,2,5,6,6,14,6,5,7,2,5,5,9
,,경상자수,79,7,3,11,5,3,8,9,6,7,11,7,2,86,11,3,7,7,9,7,6,3,9,8,7,9,74,3,3,6,6,7,2,12,4,6,10,6,9,72,5,4,1,9,6,2,12,5,9,7,8,4,106,2,6,9,19,11,9,15,6,3,14,7,5
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,1,0,0,1,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,무안군,사고건수,130,8,3,8,8,20,15,10,8,12,17,11,10,124,14,10,9,5,10,13,11,8,18,16,4,6,114,11,9,6,12,13,6,12,16,8,8,8,5,128,13,4,10,8,11,20,5,10,14,7,15,11,88,9,8,5,4,6,3,10,8,11,11,5,8
,,사망자수,8,0,0,0,0,3,0,0,1,0,2,1,1,6,1,0,0,0,0,0,1,1,1,1,1,0,5,1,0,1,1,0,0,0,0,0,1,1,0,10,2,0,0,1,2,0,0,1,2,0,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0
,,부상자수,146,8,3,10,10,23,15,14,8,12,18,13,12,138,13,12,12,7,10,13,12,10,20,18,3,8,146,16,10,7,22,17,6,15,20,10,8,10,5,155,11,6,12,12,13,29,6,10,20,8,14,14,100,11,7,4,4,7,7,13,8,11,13,5,10
,,중상자수,50,3,1,5,2,8,4,5,3,5,7,3,4,49,1,4,6,4,4,2,4,5,8,8,0,3,59,7,3,1,12,4,2,7,10,2,4,4,3,81,8,1,6,7,9,10,2,7,15,5,7,4,40,5,2,2,1,2,1,5,2,5,7,1,7
,,경상자수,76,3,1,2,8,11,8,7,4,6,10,8,8,83,10,7,6,3,6,10,8,5,10,10,3,5,83,8,6,6,10,13,4,8,10,6,4,6,2,70,2,5,5,4,3,19,4,3,5,3,7,10,59,6,5,2,3,5,6,7,6,6,6,4,3
,,부상신고자수,20,2,1,3,0,4,3,2,1,1,1,2,0,6,2,1,0,0,0,1,0,0,2,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,함평군,사고건수,65,4,2,4,2,8,9,5,4,7,10,7,3,72,3,6,4,5,16,3,3,6,6,9,7,4,72,3,7,5,7,9,8,4,5,11,4,4,5,77,3,6,8,8,3,11,3,6,5,8,12,4,82,3,6,10,8,7,3,8,7,6,10,9,5
,,사망자수,6,0,0,0,0,2,1,1,0,1,1,0,0,5,1,1,1,0,0,1,0,0,0,0,0,1,9,0,2,0,0,2,0,2,2,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,1
,,부상자수,89,10,3,5,3,6,11,5,5,10,14,11,6,76,2,5,3,5,19,2,4,6,9,9,9,3,96,4,5,5,11,8,9,4,6,29,5,4,6,101,4,5,8,11,2,16,3,13,10,12,13,4,102,4,9,11,13,10,4,11,8,6,11,11,4
,,중상자수,38,3,2,0,1,3,6,3,1,4,7,6,2,23,0,2,1,1,4,0,2,4,4,5,0,0,31,2,3,4,2,3,2,0,5,4,4,1,1,27,0,2,2,3,0,4,0,6,3,2,3,2,33,0,3,3,5,8,2,4,0,2,4,2,0
,,경상자수,48,7,1,5,2,3,5,1,3,6,6,5,4,50,2,3,2,4,15,2,2,2,4,4,7,3,54,1,2,1,6,2,6,4,1,23,1,3,4,53,4,0,4,6,2,5,2,4,6,9,9,2,56,4,6,6,7,2,2,5,5,3,5,8,3
,,부상신고자수,3,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,11,1,0,0,3,3,1,0,0,2,0,0,1,21,0,3,2,2,0,7,1,3,1,1,1,0,13,0,0,2,1,0,0,2,3,1,2,1,1
,영광군,사고건수,90,6,6,6,9,8,9,5,6,12,10,10,3,100,6,3,10,10,11,7,8,8,7,17,5,8,111,3,5,7,9,12,17,11,11,14,8,6,8,105,4,7,9,8,14,8,7,11,9,10,12,6,92,7,5,8,8,9,2,8,12,11,7,10,5
,,사망자수,10,0,0,1,0,0,1,1,0,2,1,4,0,15,0,0,3,1,0,1,2,2,2,2,0,2,10,0,0,0,1,0,1,0,0,3,1,1,3,8,1,0,0,1,2,0,1,1,1,0,1,0,8,1,0,3,1,0,0,0,2,1,0,0,0
,,부상자수,97,6,7,5,9,9,9,4,11,14,10,10,3,111,8,3,8,14,14,8,6,11,6,21,6,6,124,3,6,8,12,14,20,16,11,16,7,6,5,107,4,9,9,7,13,8,6,13,8,11,12,7,105,6,6,5,9,9,3,11,18,12,8,13,5
,,중상자수,52,5,4,3,4,7,4,2,5,4,3,9,2,46,3,1,1,8,9,3,2,2,3,12,1,1,46,0,2,2,4,5,9,7,5,4,3,2,3,53,3,7,7,2,5,4,1,5,5,4,8,2,48,2,4,1,3,5,0,8,4,7,5,9,0
,,경상자수,40,1,3,2,5,2,3,1,6,10,5,1,1,59,4,2,7,6,5,5,3,9,2,7,4,5,72,3,4,6,7,9,9,8,6,10,4,4,2,50,1,2,2,5,8,4,4,7,2,7,4,4,52,4,2,3,6,4,3,2,13,5,3,4,3
,,부상신고자수,5,0,0,0,0,0,2,1,0,0,2,0,0,6,1,0,0,0,0,0,1,0,1,2,1,0,6,0,0,0,1,0,2,1,0,2,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,1,0,0,0,1,1,0,0,0,2
,장성군,사고건수,65,3,1,6,7,7,9,4,1,8,9,6,4,68,4,3,6,8,5,3,5,10,6,9,4,5,75,5,4,6,3,5,5,5,8,4,9,13,8,87,7,5,4,6,8,12,4,6,12,14,6,3,74,7,3,,5,5,9,8,7,9,8,8,5
,,사망자수,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,8,2,1,0,1,0,0,1,0,0,0,1,2,6,1,0,0,0,0,0,0,1,1,2,1,0,4,1,0,,0,1,0,1,0,0,1,0,0
,,부상자수,87,3,1,7,10,10,17,6,1,8,11,6,7,80,4,3,9,9,7,3,6,9,8,11,5,6,80,5,3,6,3,5,5,4,10,4,13,12,10,94,8,5,4,9,8,15,4,5,14,13,5,4,86,7,3,,6,5,11,9,8,12,7,13,5
,,중상자수,32,0,0,4,1,5,10,1,0,3,2,3,3,32,1,1,2,5,2,2,0,4,5,5,3,2,23,0,0,4,2,0,1,1,4,3,2,3,3,32,1,0,1,5,6,2,3,3,5,4,1,1,24,0,3,,2,3,6,2,2,1,1,3,1
,,경상자수,53,3,1,2,9,5,7,5,1,5,9,2,4,43,2,2,7,4,5,1,5,4,3,5,1,4,53,5,3,2,0,5,4,2,6,1,9,9,7,54,7,5,3,3,2,10,1,2,7,8,3,3,53,6,0,,3,2,4,5,4,9,6,10,4
,,부상신고자수,2,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,1,0,1,1,0,4,0,0,0,1,0,0,1,0,0,2,0,0,8,0,0,0,1,0,3,0,0,2,1,1,0,9,1,0,,1,0,1,2,2,2,0,0,0
,완도군,사고건수,42,2,1,4,4,5,7,2,,,7,6,4,64,3,2,6,3,4,6,7,4,10,4,10,5,64,3,1,10,3,6,7,3,12,3,7,6,3,72,8,6,3,3,6,11,2,9,4,3,8,9,63,5,5,3,6,8,3,6,,6,9,7,5
,,사망자수,4,0,0,0,1,0,1,0,,,1,1,0,8,1,0,0,1,0,0,0,0,1,1,1,3,10,1,1,1,0,0,1,3,1,0,1,1,0,4,1,1,0,0,0,0,1,0,0,0,0,1,6,3,1,1,0,0,0,0,,1,0,0,0
,,부상자수,48,2,1,5,3,5,11,3,,,7,6,5,69,4,2,8,2,4,8,8,5,10,5,11,2,61,2,0,9,3,7,7,1,13,4,6,5,4,79,7,7,3,3,8,12,1,10,4,4,10,10,76,7,4,4,6,9,3,9,,6,13,9,6
,,중상자수,31,1,0,4,1,3,11,1,,,4,1,5,39,1,1,4,2,3,4,3,1,5,4,9,2,36,2,0,8,2,3,2,1,8,1,4,2,3,38,7,2,0,1,2,7,1,5,3,3,5,2,32,4,1,1,5,4,0,5,,1,7,3,1
,,경상자수,16,1,1,1,1,2,0,2,,,3,5,0,27,3,1,4,0,0,4,5,4,4,1,1,0,25,0,0,1,1,4,5,0,5,3,2,3,1,39,0,5,2,2,6,5,0,5,1,1,5,7,44,3,3,3,1,5,3,4,,5,6,6,5
,,부상신고자수,1,0,0,0,1,0,0,0,,,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0
,진도군,사고건수,39,5,,1,6,5,1,1,6,4,2,5,3,57,3,,4,3,5,7,4,5,4,9,2,11,37,4,2,5,2,3,3,5,5,3,3,2,,45,5,6,3,,4,5,3,3,3,3,7,3,56,6,1,3,2,4,2,8,15,8,3,3,1
,,사망자수,5,2,,0,0,0,0,0,1,0,1,0,1,7,0,,0,1,1,0,0,2,0,1,0,2,4,2,0,2,0,0,0,0,0,0,0,0,,9,2,1,0,,0,1,1,1,0,1,2,0,4,0,0,0,0,0,0,1,1,1,1,0,0
,,부상자수,39,4,,1,8,5,1,1,6,5,1,5,2,60,3,,5,3,4,8,4,4,6,10,2,11,39,4,2,3,2,3,6,6,5,3,3,2,,47,4,6,3,,7,4,3,2,5,4,5,4,63,8,1,3,2,5,3,9,15,9,2,5,1
,,중상자수,22,4,,0,4,4,0,0,2,4,0,3,1,34,2,,2,1,3,6,3,3,4,6,0,4,21,2,2,1,1,2,2,4,4,1,0,2,,14,0,2,0,,2,3,0,0,2,2,3,0,33,3,1,1,1,3,1,7,8,3,1,3,1
,,경상자수,17,0,,1,4,1,1,1,4,1,1,2,1,23,1,,2,2,1,2,1,1,1,3,2,7,18,2,0,2,1,1,4,2,1,2,3,0,,30,4,4,3,,3,1,3,2,3,2,1,4,30,5,0,2,1,2,2,2,7,6,1,2,0
,,부상신고자수,0,0,,0,0,0,0,0,0,0,0,0,0,3,0,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,신안군,사고건수,33,2,2,3,2,4,2,9,3,1,2,1,2,41,2,3,3,2,2,1,5,4,5,5,3,6,44,,1,6,3,5,6,4,2,4,7,6,,37,1,4,4,7,2,1,3,4,5,2,1,3,36,,1,1,1,3,1,5,5,1,8,6,4
,,사망자수,5,0,0,0,0,0,0,1,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,2,8,,0,1,0,1,0,2,1,1,2,0,,4,0,0,0,1,0,0,1,2,0,0,0,0,7,,0,0,0,1,0,2,1,0,2,1,0
,,부상자수,36,2,2,4,4,4,2,12,2,0,2,0,2,43,2,3,3,1,2,1,7,4,6,7,3,4,49,,2,6,3,5,7,3,2,3,9,9,,47,1,5,4,9,2,1,3,7,6,3,2,4,35,,1,1,1,2,1,5,5,1,7,7,4
,,중상자수,26,1,2,1,4,2,2,9,2,0,1,0,2,24,1,3,2,1,2,1,4,1,2,3,1,3,31,,2,5,2,5,4,1,2,1,3,6,,21,1,4,1,5,1,1,0,1,2,1,1,3,24,,1,1,0,1,1,3,4,1,7,2,3
,,경상자수,10,1,0,3,0,2,0,3,0,0,1,0,0,19,1,0,1,0,0,0,3,3,4,4,2,1,17,,0,1,1,0,2,2,0,2,6,3,,24,0,1,2,4,1,0,3,6,3,2,1,1,11,,0,0,1,1,0,2,1,0,0,5,1
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,,2,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
경북,합계,사고건수,3090,233,161,238,269,339,239,258,253,283,328,268,221,3359,233,188,300,274,306,257,284,313,324,356,292,232,3251,193,213,246,285,302,285,308,292,277,293,303,254,3353,219,186,298,287,300,286,286,259,344,309,318,261,3488,233,247,274,281,312,275,306,327,294,374,298,267
,,사망자수,214,19,14,21,10,21,18,20,12,15,28,19,17,209,15,7,21,12,13,20,18,18,15,28,28,14,225,21,12,20,21,17,14,20,17,18,19,25,21,209,15,11,18,9,25,18,16,18,17,17,26,19,202,8,16,13,18,17,14,21,17,19,29,11,19
,,부상자수,3384,262,181,261,302,378,244,278,269,305,363,295,246,3635,246,205,311,298,344,286,301,324,359,399,318,244,3563,216,236,280,315,321,327,332,316,323,325,314,258,3702,229,194,334,339,324,306,325,292,378,351,353,277,3845,255,265,300,304,339,294,356,353,343,415,326,295
,,중상자수,1781,143,110,129,157,205,136,145,128,169,195,150,114,1856,140,96,181,140,173,140,146,156,191,218,154,121,1702,109,99,127,167,144,147,142,176,147,164,147,133,1779,112,101,159,161,169,143,139,135,186,165,169,140,1764,115,128,146,131,162,135,154,169,156,199,156,113
,,경상자수,1450,108,65,119,126,152,97,122,128,129,155,128,121,1594,90,98,109,140,154,134,132,157,158,158,153,111,1696,97,122,126,140,162,162,180,130,160,147,152,118,1759,107,89,159,167,141,145,178,134,176,168,169,126,1932,129,131,141,161,166,153,188,174,172,202,155,160
,,부상신고자수,153,11,6,13,19,21,11,11,13,7,13,17,11,185,16,11,21,18,17,12,23,11,10,23,11,12,165,10,15,27,8,15,18,10,10,16,14,15,7,164,10,4,16,11,14,18,8,23,16,18,15,11,149,11,6,13,12,11,6,14,10,15,14,15,22
,포항시,사고건수,412,39,22,31,35,40,29,20,37,41,43,35,40,426,39,27,37,33,46,25,38,36,39,40,43,23,476,37,30,39,31,45,38,46,36,47,44,46,37,471,40,31,45,33,29,37,42,36,43,40,54,41,536,40,41,56,40,53,43,39,50,32,55,38,49
